id,domain,sentence,label,relations
266,Biology,ecosystem balance in Biology helps explain how entropy occurs.,fact,"[('entropy', 'occur', 'Biology')]"
267,Psychology,"In Psychology, neural networks plays a key role in understanding grammar.",definition,"[('networks', 'understand', 'grammar')]"
268,Linguistics,"molecular biology provides insights into environment, a major theme in Linguistics.",relation,"[('biology', 'provide', 'Linguistics')]"
269,Linguistics,Linguistics uses quantum mechanics to describe learning.,definition,"[('Linguistics', 'describe', 'learning')]"
270,Environmental Science,Environmental Science uses ecosystem balance to describe evolution.,fact,"[('Science', 'describe', 'evolution')]"
271,Biology,"In Biology, ecosystem balance plays a key role in understanding trade.",definition,"[('balance', 'understand', 'trade')]"
272,Psychology,The concept of chemical bonding is fundamental to evolution in Psychology.,definition,[]
273,Linguistics,"In the field of Linguistics, statistical inference influences the study of society.",relation,"[('inference', 'influence', 'society')]"
274,Economics,Economics researchers study market equilibrium to explore entropy.,relation,"[('researchers', 'explore', 'entropy')]"
275,Psychology,Psychology uses climate modeling to describe learning.,concept,"[('Psychology', 'describe', 'learning')]"
276,Mathematics,"In the field of Mathematics, economic growth influences the study of patterns.",fact,"[('growth', 'influence', 'patterns')]"
277,Economics,Economics uses cognitive behavior to describe evolution.,fact,"[('Economics', 'describe', 'evolution')]"
278,Chemistry,"genetic mutation provides insights into entropy, a major theme in Chemistry.",definition,"[('mutation', 'provide', 'Chemistry')]"
279,Psychology,"In the field of Psychology, ecosystem balance influences the study of motion.",definition,[]
280,Biology,quantum mechanics and environment are closely related ideas in Biology.,definition,"[('mechanics', 'relate', 'Biology')]"
281,Psychology,Psychology uses neural networks to describe optimization.,relation,"[('Psychology', 'describe', 'optimization')]"
282,Sociology,molecular biology in Sociology helps explain how entropy occurs.,definition,"[('entropy', 'occur', 'Sociology')]"
283,Chemistry,chemical bonding and communication are closely related ideas in Chemistry.,relation,"[('bonding', 'relate', 'Chemistry')]"
284,Biology,"In Biology, artificial intelligence plays a key role in understanding reactions.",definition,"[('intelligence', 'understand', 'reactions')]"
285,Mathematics,Mathematics uses molecular biology to describe motion.,relation,"[('Mathematics', 'describe', 'motion')]"
286,Psychology,market equilibrium in Psychology helps explain how society occurs.,concept,"[('society', 'occur', 'Psychology')]"
287,Environmental Science,Environmental Science researchers study neural networks to explore motion.,concept,"[('researchers', 'explore', 'motion')]"
288,Biology,computation is often modeled using neural networks in Biology.,definition,"[('computation', 'use', 'Biology')]"
289,Biology,calculus forms the basis for understanding pollution within Biology.,definition,"[('calculus', 'understand', 'Biology')]"
290,Computer Science,Computer Science researchers study genetic mutation to explore trade.,concept,"[('researchers', 'explore', 'trade')]"
291,Mathematics,"In Mathematics, statistical inference plays a key role in understanding grammar.",concept,"[('inference', 'understand', 'grammar')]"
292,Computer Science,language acquisition forms the basis for understanding data patterns within Computer Science.,fact,"[('acquisition', 'understand', 'Science')]"
293,Linguistics,"In Linguistics, natural selection plays a key role in understanding learning.",concept,"[('selection', 'learn', 'learning')]"
294,Computer Science,natural selection in Computer Science helps explain how markets occurs.,fact,"[('markets', 'occur', 'Science')]"
295,Sociology,"In Sociology, genetic mutation plays a key role in understanding data patterns.",fact,"[('mutation', 'understand', 'patterns')]"
296,Environmental Science,chemical bonding forms the basis for understanding particles within Environmental Science.,concept,"[('bonding', 'understand', 'Science')]"
297,Linguistics,particles is often modeled using calculus in Linguistics.,fact,"[('particles', 'use', 'Linguistics')]"
298,Physics,climate modeling forms the basis for understanding trade within Physics.,concept,[]
299,Sociology,The concept of natural selection is fundamental to grammar in Sociology.,definition,"[('concept', 'grammar', 'Sociology')]"
300,Sociology,calculus forms the basis for understanding trade within Sociology.,definition,"[('calculus', 'understand', 'Sociology')]"
301,Mathematics,"In the field of Mathematics, energy conservation influences the study of grammar.",relation,"[('conservation', 'influence', 'grammar')]"
302,Physics,The concept of calculus is fundamental to DNA sequences in Physics.,fact,[]
303,Sociology,natural selection and patterns are closely related ideas in Sociology.,relation,"[('selection', 'relate', 'Sociology')]"
304,Physics,Physics uses artificial intelligence to describe learning.,concept,"[('Physics', 'describe', 'learning')]"
305,Computer Science,The concept of data mining is fundamental to markets in Computer Science.,definition,[]
306,Sociology,"In Sociology, quantum mechanics plays a key role in understanding data patterns.",fact,"[('mechanics', 'understand', 'patterns')]"
307,Biology,energy conservation and society are closely related ideas in Biology.,relation,"[('conservation', 'relate', 'Biology')]"
308,Economics,"In the field of Economics, chemical bonding influences the study of DNA sequences.",definition,[]
309,Environmental Science,quantum mechanics and grammar are closely related ideas in Environmental Science.,definition,"[('mechanics', 'relate', 'Science')]"
310,Physics,evolution is often modeled using data mining in Physics.,fact,"[('evolution', 'use', 'Physics')]"
311,Environmental Science,"In Environmental Science, natural selection plays a key role in understanding society.",definition,"[('selection', 'understand', 'society')]"
312,Linguistics,language acquisition and DNA sequences are closely related ideas in Linguistics.,relation,"[('acquisition', 'relate', 'Linguistics')]"
313,Environmental Science,Environmental Science researchers study calculus to explore motion.,concept,"[('researchers', 'explore', 'motion')]"
314,Biology,reactions is often modeled using artificial intelligence in Biology.,concept,"[('reactions', 'use', 'Biology')]"
315,Computer Science,molecular biology and grammar are closely related ideas in Computer Science.,concept,"[('biology', 'relate', 'Science')]"
316,Psychology,Psychology uses chemical bonding to describe optimization.,concept,"[('Psychology', 'describe', 'optimization')]"
317,Chemistry,Chemistry uses molecular biology to describe entropy.,fact,"[('Chemistry', 'describe', 'entropy')]"
318,Economics,computation is often modeled using natural selection in Economics.,fact,"[('computation', 'use', 'Economics')]"
319,Computer Science,"In the field of Computer Science, natural selection influences the study of entropy.",fact,[]
320,Linguistics,natural selection and evolution are closely related ideas in Linguistics.,relation,"[('selection', 'relate', 'Linguistics')]"
321,Economics,"In Economics, thermodynamics plays a key role in understanding trade.",relation,"[('thermodynamics', 'understand', 'trade')]"
322,Biology,ecosystem balance and particles are closely related ideas in Biology.,relation,"[('balance', 'relate', 'Biology')]"
323,Biology,"In Biology, market equilibrium plays a key role in understanding evolution.",definition,"[('equilibrium', 'understand', 'evolution')]"
324,Mathematics,"In the field of Mathematics, syntax analysis influences the study of data patterns.",concept,"[('analysis', 'influence', 'patterns')]"
325,Mathematics,"In Mathematics, genetic mutation plays a key role in understanding computation.",definition,"[('mutation', 'understand', 'computation')]"
326,Computer Science,Computer Science uses natural selection to describe communication.,definition,"[('Science', 'describe', 'communication')]"
327,Mathematics,"syntax analysis provides insights into DNA sequences, a major theme in Mathematics.",relation,"[('analysis', 'provide', 'Mathematics')]"
328,Psychology,Psychology researchers study natural selection to explore particles.,fact,"[('researchers', 'explore', 'particles')]"
329,Mathematics,natural selection in Mathematics helps explain how reactions occurs.,relation,"[('reactions', 'occur', 'Mathematics')]"
330,Sociology,Sociology researchers study data mining to explore optimization.,concept,"[('researchers', 'explore', 'optimization')]"
331,Psychology,Psychology researchers study energy conservation to explore particles.,fact,"[('researchers', 'explore', 'particles')]"
332,Computer Science,Computer Science uses language acquisition to describe communication.,definition,"[('Science', 'describe', 'communication')]"
333,Computer Science,calculus and grammar are closely related ideas in Computer Science.,relation,"[('calculus', 'relate', 'Science')]"
334,Chemistry,genetic mutation in Chemistry helps explain how patterns occurs.,concept,"[('patterns', 'occur', 'Chemistry')]"
