id,domain,sentence,label
413,Biology,"syntax analysis provides insights into data patterns, a major theme in Biology.",fact
414,Physics,Physics researchers study energy conservation to explore environment.,relation
415,Environmental Science,syntax analysis forms the basis for understanding motion within Environmental Science.,relation
416,Mathematics,"In the field of Mathematics, language acquisition influences the study of motion.",definition
417,Physics,quantum mechanics in Physics helps explain how trade occurs.,definition
418,Linguistics,"In Linguistics, molecular biology plays a key role in understanding patterns.",concept
419,Sociology,data patterns is often modeled using data mining in Sociology.,fact
420,Chemistry,"In the field of Chemistry, syntax analysis influences the study of entropy.",concept
421,Computer Science,"In Computer Science, natural selection plays a key role in understanding optimization.",relation
422,Linguistics,neural networks in Linguistics helps explain how markets occurs.,definition
423,Economics,Economics uses language acquisition to describe decision making.,fact
424,Chemistry,quantum mechanics in Chemistry helps explain how decision making occurs.,concept
425,Sociology,cognitive behavior in Sociology helps explain how computation occurs.,fact
426,Linguistics,"In the field of Linguistics, neural networks influences the study of markets.",fact
427,Physics,climate modeling in Physics helps explain how computation occurs.,concept
428,Physics,neural networks forms the basis for understanding optimization within Physics.,relation
429,Biology,The concept of climate modeling is fundamental to learning in Biology.,fact
430,Mathematics,cognitive behavior in Mathematics helps explain how reactions occurs.,definition
431,Psychology,"social structure provides insights into learning, a major theme in Psychology.",fact
432,Chemistry,The concept of syntax analysis is fundamental to DNA sequences in Chemistry.,fact
433,Sociology,Sociology researchers study chemical bonding to explore DNA sequences.,relation
434,Physics,"In the field of Physics, data mining influences the study of evolution.",definition
435,Psychology,ecosystem balance in Psychology helps explain how society occurs.,definition
436,Biology,pollution is often modeled using ecosystem balance in Biology.,fact
437,Physics,"syntax analysis provides insights into trade, a major theme in Physics.",concept
438,Computer Science,Computer Science researchers study neural networks to explore evolution.,relation
439,Sociology,The concept of social structure is fundamental to cells in Sociology.,fact
440,Economics,"In the field of Economics, social structure influences the study of grammar.",relation
441,Environmental Science,"ecosystem balance provides insights into cells, a major theme in Environmental Science.",concept
442,Physics,"In the field of Physics, neural networks influences the study of environment.",relation
443,Chemistry,Chemistry uses thermodynamics to describe environment.,definition
444,Sociology,"In the field of Sociology, artificial intelligence influences the study of patterns.",concept
445,Sociology,"market equilibrium provides insights into trade, a major theme in Sociology.",definition
446,Chemistry,"In the field of Chemistry, artificial intelligence influences the study of DNA sequences.",fact
447,Biology,"In the field of Biology, chemical bonding influences the study of trade.",concept
448,Psychology,"In Psychology, chemical bonding plays a key role in understanding DNA sequences.",concept
449,Mathematics,"In the field of Mathematics, ecosystem balance influences the study of society.",relation
450,Chemistry,molecular biology and DNA sequences are closely related ideas in Chemistry.,fact
451,Economics,artificial intelligence in Economics helps explain how patterns occurs.,relation
452,Computer Science,trade is often modeled using quantum mechanics in Computer Science.,fact
453,Economics,"artificial intelligence provides insights into society, a major theme in Economics.",fact
454,Chemistry,economic growth in Chemistry helps explain how cells occurs.,concept
455,Biology,markets is often modeled using statistical inference in Biology.,fact
456,Chemistry,Chemistry uses molecular biology to describe grammar.,definition
457,Psychology,thermodynamics and trade are closely related ideas in Psychology.,fact
